Catergory,Question,Answer,Kick
Household,3-5. ┅15. What are some major problems people have when they rent a home or an apartment? How do people deal with these issues? How do these things affect how or where people live?,The biggest problem that people face ~ hiking prices in Seoul. higher bank interest due to Iran War,"hiking prices, simply put, to make matters worse, soaring, tenants, mortgage interest"
,,"To solve this problem, government making satellite cities outside of Soeul, scatter population, replace Yongsan to apartments","satellite cities, scatter the population, are against, right to health"
,,"Honestly, don't know how to solve. no expectaionts any more","failed to stabilize, no expectations any more, pop out of an oven like bread"
Household,3-6. Tell me about your favorite piece of furniture. Why do you like that piece of furniture the most?,I recently moved to my new house,spent my fortune
,,"First pick is my couch. fell exhausted, spacious black couch","such a couch potato, recharge my battery, binge-watch"
,,Next one is family bed. Two sons wake up at midnight,"worth every penny, kick my body, stay up all night"
,,"Eva, are you a homebody? Which furniture do you like most?",are you a homebody?
Household,"3-7. Tell me about the newest piece of furniture in your room. Compared to the past, what furniture is in your room, and how are they different?","my room had a complete make-over, renovated.","a complete make-over, renovated"
,,"closet gone thru transformation. before wooden, now built-in.","the most transformation, taking up too much space, built-in closet, create more room"
,,"bed. size, wooden frame.","matches the style, low enough, get hurt"
,,good. I wanna stay home all day!,"the entire atmosphere, stay home all day"
Household,"3-8. Do you have any memorable experiences with your family? If so, what was it? Please tell me everything from the beginning to the end in detail","dec 31st. celebrating the birthday, end of year, and Christmas all at aonce","a special tradition, an intimate party, all at once"
,,"my wife and I did our own part. wife - cake, me - toys kingdom.","did our own part, his appetite, absolutely no vanilla, in real time"
,,"After shopping, all together at home. my son lighting up candle, give him a gift.","lit up the candles, blowing out the candle, his face lit up, clapped like a seal"
,,Throwing a party is always good fun. don't you think eva?,always good fun
Trip,"4-1. When people think about traveling to other countries, what do you think are some of things they are most interested in? Why do you think these things are of such interest to travelers?",I t hink everyone has their interests and priorities when they travel overseas.,"interests and priorities, narrowed down to"
,,"The first thing, local restaurant. New Zealand, lab burger","the dining culture, a foodie in a hoodie, grazing throughout the countryside"
,,"Supermarket, beef cheaper than salad,","the local atmosphere, outnumber the population, in my left hand, without any hesitation"
,,That's it Eva!,
Trip,4-2. Why do you think people need a vacation? What is the purpose of vacations to you? How do people usually spend their vacation? What about you? Are there any specific ways you prefer to spend vacation well?,"falls in two categories, resting and sightseeing","falls into two categories, resting and sightseeing"
,,italia. many monuments but tired. changed my attidtude toward a vacation,"monuments and heritages, tired and tired, changed my attitude"
,,"stay home, stay cooped in my hotel room.","need time to reset, overworked, intermittent vacations, prevent our burn-out, roaming around, stay cooped in, blows my stress away, rehabilitated and refreshed, a hotelbody than a homebody"
,,That's it Eva!,
Trip,4-3. Please tell me about the most memorable beach that you have ever been to. When did you go? And with whom did you go? What kind of activities?,"(Opening) Jeju comes first. white sandy beach, clear blue water","white sandy beach, crystal-clear water, Hawaii of Korea"
,,"(Day 1) ran into the water, splashed. 2nd son's birthday cake, dinosaur toy on top","splashed water, hit the bars, his face lit up, clapped like a seal"
,,"(Day 2) snorkeling. turtles, clown fish like Nemo, coral","marine life, schools of fish, the time of our lives, a dream I didn't want to wake from"
,,"(Closing) Eva, we truely spent quality time last summer","quality time, still cherish that moment"
Trip,4-4. You indicated in the survey that you stay at home for vacations. How do you spend your vacations at home? What do you usually do? With whom do you spend your time?,(Opening) spend my own time at home taking a rest. meet nobody,"recharge my battery, I'd rather, a homebody"
,,"(Routine) as lazy as I can. sleep late, brunch, gym, bath, TV","as lazy as I can, hit the gym, not really my thing, end up like a pig, unwind in the tub, binge-watch, a couch potato"
,,(If bored) imagine how to change my room. closet -> built-in,"taking up too much room, built-in closet, brainstorming ways"
,,"(Closing) Eva, how do you spend your day when you're home?",anything special?
Trip,4-5. You indicated in the survey that you take vacations internationally. How has travelling to other countries changed over the years? Is it easier or more difficult? Describe what travelling was like in the past and what changes you have seen over the years.,"(Opening) Eva, I don't really agree with you that ~ ","hidden local spots, without a travel agency"
,,"(Change 1) Youtube. ""A guy leaving again""","a real game-changer, no longer exclusive, unveils a secret, an affordable price"
,,"(Change 2) AI, Claude. paste a URL -> full itinerary","a token fee, worth it, a complete itinerary, must-visit spots, must-eat dishes"
,,"(Closing) gather info from youtube, let Claude generate the itinerary",way better than
Trip,4-6. How do you plan for your vacations? Where do you get all the information you need when you plan for a trip? Please tell me all the steps you take to plan before leaving on a vacation,(Opening) depends on domestic or international,"I just wing it, in advance"
,,"(Step 1) cheapest flight tickets. miles, aggregators","redeem miles, fierce competition, travel aggregators, a round-trip ticket"
,,(Step 2) hotel. Marriott loyalty program,"loyalty program, a platinum member, eligible for, a club lounge"
,,(Step 3 / Closing) prompt AI for the itinerary,"ends up prompting AI, marked locations"
Academy,5-1. Tell me about your English Academy. Where is it located and how are their conditions? Why are you taking a course there? Please tell me everything about your English Academy in as much detail as possible,"(Where/Condition) ""Hackers"", Gangnam, 20 min by subway. newly built","the heart of Gangnam, well equipped, maximize learning, spacious enough"
,,(Why) English is essential. nervous at international conferences,"basic and essential, a bit nervous, limits my opportunities, to break it through, enrolled for"
,,"(Closing) Eva, give them my number. I can refer them","give them my number, refer them"
Academy,5-2. Tell me about the curriculum of your English class. How's your class? Please tell me everything in as much detail as possible,"(Structure) two hours, ten-minute breaks","two-hours long, ten-minute breaks"
,,"(Morning test) mini test like OPIc. everyone nervous, exhausted","we all get nervous, our true level of proficiency, get exhausted"
,,"(Main) topics vast. vocab, expressions, examples. speaking with classmate","incredibly vast, nearly impossible, fundamental English skills, benefit most from"
,,"(Closing) challenging at first, but confidence grew. cross fingers","get accustomed to, week by week, cross fingers for me"
Academy,5-3. Please describe your instructor. How does he or she teach? Do you like his or her teaching style? What does he or she look like? What was your first impression of him or her? Please tell me about your instructor,(Opening) Sarah. really pleased with her and her methods,really pleased with
,,"(Look/First impression) mid-30's. looked strict, but warm","in her mid-30's, a little strict, don't get me wrong, maintain a balance, professionalism and human kindness"
,,(How she teaches) constructive feedback on every piece of writing,"dedicated to, constructive feedback, clear yet detailed, a better grasp of"
,,"(Closing) had no idea at first, but thanks to her I improved","had no idea, thanks to her, improved a lot"
Academy,5-4. How did you find out your English School? And how can you get there from your place?,(How found) mom recommended. friend's son got a high score,"spot-on, sign up for"
,,(Location) heart of Gangnam. subway line 2 or 9,"the heart of Gangnam, everyone knows, the fastest way"
,,(Landmark) orange building with a digital clock,"outstanding orange-color building, a digital clock"
,,"(Closing) Eva, call me anytime for directions","call me anytime, clear directions"